Project Name,Modified,Active,Launch Date,Launch status,Other comments,Pipeline,BU,Company,Category,Brand,Exp Rev 2026 (M AED),Exp.Rev. 24 months (M AED),Product code,Code creation date,Target Project Monthly Net Sales (NR) (M AED),Actuals Monthly Net Sales (NR) (M AED),Target Project Monthly Net Sales (Volume),Actuals Monthly Net Sales (Volume),Project Month Target GP (M AED),Actuals Month GP (M AED),Project Month Target NP (M AED),Actuals Month NP (M AED),YTD Target Project Net Sales (NR) (M AED),YTD Actuals Net Sales (NR) (M AED),YTD Target Project Sales (Volume),YTD Actuals Sales (Volume),YTD Project Target GP (M AED),YTD Actuals GP (M AED),YTD Project Target NP (M AED),YTD Actuals NP (M AED),Modified By
MC diced beef bacon 500 gm,06-10-2026 00:12,True,01-06-2025,True,This product provided income this year but is now zero sales,Pipeline 2025,Protein & Frozen,Nabil,Cold Cuts,Nabil,0.0,0.0,FGF12417,01-06-2025,0.0,0.0,,,,,,,0.0,0.38,,,,,,,Mo’men Mafalha
Papa Jones Grilled Chicken Strips,06-03-2026 00:40,True,6/25/2025,True,YTD return of AED 0.006M & Zero this month,Pipeline 2025,Protein & Frozen,Atyab,FPP,Atyab,0.0,0.0,11462,,0.07,0.0,,0.0,,,,,0.0,-0.01,,0.0,,,,,Daniel Perez
Cooked Jalapeno Crispy Chicken Patty 1.12 KG,06-10-2026 00:12,True,6/25/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,FGF12462,6/25/2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Mo’men Mafalha
25-14 Aldahow cheddar jalapeno sambousik,06-09-2026 01:19,True,10-01-2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Appetizers,Nabil,0.06,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
25-36 ansari cheese sticks,06-10-2026 00:12,True,01-01-2026,True,,Pipeline 2026,Protein & Frozen,Nabil,Breaded,Nabil,0.09,0.0,FGF12477,10/20/2025,0.0,0.0,,,,,,,0.0,0.05,,,,,,,Mo’men Mafalha
25-33 Nabil tempura burger 55g,06-10-2026 00:12,True,5/26/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.53,0.0,FGF12458,5/13/2025,0.0,0.0,,,,,,,0.0,0.11,,,,,,,Mo’men Mafalha
Beef Bacon,06-09-2026 01:26,True,06-03-2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Cold Cuts,Nabil,0.06,0.0,WIP10010,06-03-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Cheese spring roll halloumi,06-10-2026 00:12,True,2/20/2025,True,,Pipeline 2025,Protein & Frozen,Nabil,Appetizers,Nabil,0.0,0.0,FGF11615,2/20/2025,0.0,0.0,,,,,,,0.0,0.08,,,,,,,Mo’men Mafalha
Firefly Uncooked shish chicken breast,06-10-2026 00:12,True,2/26/2026,True,,Pipeline 2026,Protein & Frozen,Nabil,Chicken product,Nabil,0.21,0.0,FGF12460,,0.0,0.0,,,,,,,0.0,0.01,,,,,,,Mo’men Mafalha
DP Cooked seasoned chicken wings,06-10-2026 00:12,True,02-03-2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Chicken product,Nabil,0.0,0.0,FGF11693,02-03-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Mo’men Mafalha
Subway Beef pepperoni - Fully cooked,06-10-2026 00:12,True,2/20/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Beef product,Nabil,0.0,0.0,FGF10045,02-02-2025,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Mo’men Mafalha
Chapatti Tempura Chicken Burger 80 g,06-09-2026 01:21,True,10/22/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.0,0.0,FGF12480,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Eco beef pepperoni,06-10-2026 00:12,True,10/22/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Cold Cuts,Nabil,0.0,0.0,FGF12479,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Mo’men Mafalha
NP25-64 swish spicy tempura chicken nugget,06-09-2026 01:26,True,10-01-2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Breaded,Nabil,0.14,0.0,FGF12473,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
NP24-106 MC beef kufta 10:1,06-09-2026 01:22,True,1/19/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Beef product,Nabil,0.0,0.0,,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
NP25-58 hot restaurant beef burger 150g,06-09-2026 01:22,True,01-10-2026,True,There are no sales recorded yet for this item.,Pipeline 2026,Protein & Frozen,Nabil,Beef product,Nabil,0.0,0.0,FGF12474,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Breaded Fish Finger 1 KG,06-10-2026 00:12,True,10/16/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Others,Nabil,0.08,0.0,FGT11188,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Mo’men Mafalha
Nabil - Oriental beef kufta,06-09-2026 01:24,True,02-04-2026,True,There are no sales recorded yet for this item.,Pipeline 2026,Protein & Frozen,Nabil,Beef product,Nabil,0.1,0.0,FGF12501,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Ashrafs - Cordon Bleu with Turkey roast and Cheddar cheese,06-09-2026 01:25,True,12/16/2025,True,There are no sales recorded yet for this item.,Pipeline 2025,Protein & Frozen,Nabil,Chicken product,QSR Private Label Key Account,0.0,0.0,FGF12499,,0.0,0.0,,,,,,,0.0,0.0,,,,,,,Osama Abu Laila
Qaysar - Chicken strips with lemon and pepper,06-10-2026 00:12,True,3/19/2026,True,,Pipeline 2026,Protein & Frozen,Nabil,Chicken product,QSR Private Label Key Account,0.0,0.0,FGF12502,,0.0,-0.23,,,,,,,0.0,0.01,,,,,,,Mo’men Mafalha
